"<b> To cache your entire site for an application in Django, you add all except which of these settings?</b><br><ul><li>django.middleware.common.CommonMiddleware</li><li>django.middleware.cache.UpdateCacheMiddleware</li><li>django.middleware.cache.FetchFromCacheMiddleware</li><li>django.middleware.cache.AcceleratedCacheMiddleware</li></ul>",django.middleware.cache.AcceleratedCacheMiddleware
"<b> Should you create a custom user model for new projects?</b><br><ul><li>No. Using a custom user model could break the admin interface and some third-party apps.</li><li>Yes. It is easier to make changes once it goes into production.</li><li>No. Django's built-in models.User class has been tried and tested—no point in reinventing the wheel.</li><li>Yes, as there is no other option.</li></ul>",No. Django's built-in models.User class has been tried and tested—no point in reinventing the wheel.
"<b> You want to create a page that allows editing of two classes connected by a foreign key (e.g., a question and answer that reside in separate tables). What Django feature can you use?</b><br><ul><li>actions</li><li>admin</li><li>mezcal</li><li>inlines</li></ul>",actions
"<b> Why are QuerySets considered ""lazy""?</b><br><ul><li>The results of a QuerySet are not ordered.</li><li>QuerySets do not create any database activity until they are evaluated.</li><li>QuerySets do not load objects into memory until they are needed.</li><li>Using QuerySets, you cannot execute more complex queries.</li></ul>",QuerySets do not create any database activity until they are evaluated.
"<b> You receive a `MultiValueDictKeyError` when trying to access a request parameter with the following code: request.GET['search_term']. Which solution will NOT help you in this scenario?</b><br><ul><li>Switch to using POST instead of GET as the request method.</li><li>Make sure the input field in your form is also named ""search_term"".</li><li>Use MultiValueDict's GET method instead of hitting the dictionary directly like this: request.GET.get('search_term', '').</li><li>Check if the search_term parameter is present in the request before attempting to access it.</li></ul>",Switch to using POST instead of GET as the request method.
<b> Which function of Django's Form class will render a form's fields as a series of <p> tags?</b><br><ul><li>show_fields()</li><li>as_p()</li><li>as_table()</li><li>fields()</li></ul>,as_p()
<b> You have found a bug in Django and you want to submit a patch. Which is the correct procedure?</b><br><ul><li>Fork the Django repository GitHub.</li><li>Submit a pull request.</li><li>all of these answers.</li><li>Run Django's test suite.</li></ul>,all of these answers.
<b> Django supplies sensible default values for settings. In which Python module can you find these settings?</b><br><ul><li>django.utils.default_settings.py</li><li>django.utils.global_settings.py</li><li>django.conf.default_settings.py</li><li>django.conf.global_settings.py</li></ul>,django.conf.global_settings.py
<b> Which variable name is best according to PEP </b><br><ul><li>numFingers</li><li>number-of-Fingers</li><li>number_of_fingers</li><li>finger_num</li></ul>,number_of_fingers
<b> A project has accumulated </b><br><ul><li>Manually merge your migration files to reduce the number</li><li>Don't worry about the number</li><li>Try to minimize the number of migrations</li><li>Use squashmigrations to reduce the number</li></ul>,Use squashmigrations to reduce the number
<b> What does an F() object allow you when dealing with models?</b><br><ul><li>perform db operations without fetching a model object</li><li>define db transaction isolation levels</li><li>use aggregate functions more easily</li><li>build reusable QuerySets</li></ul>,perform db operations without fetching a model object
<b> Which is not a Django filed type for integers?</b><br><ul><li>SmallIntegerField</li><li>NegativeIntegerField</li><li>BigAutoField</li><li>PositiveIntegerField</li></ul>,NegativeIntegerField
<b> Which will show the currently installed version?</b><br><ul><li>print (django.version)</li><li>import django django.getVersion()</li><li>import django django.get_version()</li><li>python -c django --version</li></ul>,import django django.get_version()
<b> You should use the http method `___` to read data and `___` to update or create data</b><br><ul><li>READ; WRITE</li><li>GET; POST</li><li>POST; GET</li><li>GET; PATCH</li></ul>,GET; POST
<b> When should you employ the POST method over GET for submitting data?</b><br><ul><li>when efficiency is important</li><li>when you want the data to be cached</li><li>when you want to use your browser to help with debugging</li><li>when the data in the form may be sensitive</li></ul>,when the data in the form may be sensitive
<b> When to use the Django sites framework?</b><br><ul><li>if your single installation powers more than one site</li><li>if you need to serve static as well as dynamic content</li><li>if you want your app have a fully qualified domain name</li><li>if you are expecting more than 10.000 users</li></ul>,if your single installation powers more than one site
"<b> Which infrastructure do you need:</b><br><br>`title=models.charfield(max_length=100, validators=[validate_spelling])`<br><br><ul><li>inizialized array called validators</li><li>a validators file containing a function called validate_spelling imported at the top of model</li><li>a validators file containing a function called validate imported at the top of model</li><li>spelling package imported at the top of model</li></ul>",a validators file containing a function called validate_spelling imported at the top of model
<b> What decorator is used to require that a view accepts only the get and head methods?</b><br><ul><li>require_safe()</li><li>require_put()</li><li>require_post()</li><li>require_get()</li></ul>,require_safe()
"<b> How would you define the relation between a book and an author - book has only one author.</b><br><ul><li><span>```<br>class Author (models.model):<br>book=models.foreignkey(Book,on_delete=models.cascade)<br>class Book(models.model):<br>name=models.charfield(max_length=100)<br>```<br></li><li><span>```python<br>class Author (models.model):<br>name=models.charfield(max_length=100)<br>class Book(models.model):<br>author=models.foreignkey(Author,on_delete=models.cascade)<br>```<br></li><li><span>```<br>class Author (models.model):<br>name=models.charfield(max_length=100)<br>class Book(models.model):<br>author=models.foreignkey(Author)<br>```<br></li><li><span>```<br>class Author (models.model):<br>name=models.charfield(max_length=100)<br>class Book(models.model):<br>author=models.foreignkey(Author,on_delete=models.cascade)<br>```<br></li><li><span>```<br>class Author (models.model):<br>name=models.charfield(max_length=100)<br>class Book(models.model):<br>author=Author.name<br>```<br></li></ul>","<span>```python<br>class Author (models.model):<br>name=models.charfield(max_length=100)<br>class Book(models.model):<br>author=models.foreignkey(Author,on_delete=models.cascade)<br>```<br>"
<b> What is a callable that takes a value and raises an error if the value fails?</b><br><ul><li>validator</li><li>deodorizer</li><li>mediator</li><li>regular expression</li></ul>,validator
"<b> To secure an API endpoint, making it accessible to registered users only, you can replace the rest_framework.permissions.allowAny value in the default_permissions section of your settings.py to</b><br><ul><li>rest_framework.permissions.IsAdminUser</li><li>rest_framework.permissions.IsAuthenticated</li><li>rest_framework.permissions.IsAuthorized</li><li>rest_framework.permissions.IsRegistered</li></ul>",rest_framework.permissions.IsAuthenticated
<b> Which command would you use to apply a migration?</b><br><ul><li>makemigration</li><li>update_db</li><li>applymigration</li><li>migrate</li></ul>,migrate
<b> Which type of class allows QuerySets and model instances to be converted to native Python data types for use in APIs?</b><br><ul><li>objectwriters</li><li>serializers</li><li>picklers</li><li>viewsets</li></ul>,serializers
<b> How should the code end?</b><br><br>```<br>{ percentage if spark >= 50 percentage }<br>Lots of spark<br>{percentage elif spark == 42 percentage}<br>```<br><br><ul><li>{ percentage else percentage}</li><li>{percentage endif percentage}</li><li>Nothing needed</li><li>{percentage end percentage}</li></ul>,{percentage endif percentage}
"<b> Which code block will create a serializer?</b><br><br>```<br>from rest_framework import serializers<br>from .models import Planet<br>```<br><br><ul><li><span>```<br>class PlanetSerializer(serializers.ModelSerializer):<br>class Meta:<br>model=Planet<br>fields=('name','position', 'mass', 'rings')<br>```<br></li><li><span>```<br>from rest_framework import serializers<br>from .models import Planet<br>class PlanetSerializer():<br>class Meta:<br>fields=('name','position', 'mass', 'rings')<br>model=Planet<br>```<br></li><li><span>```<br>from django.db import serializers<br>from .models import Planet<br>class PlanetSerializer(serializers.ModelSerializer):<br>fields=('name','position', 'mass', 'rings')<br>model=Sandwich<br>```<br></li><li><span>```<br>from django.db import serializers<br>from .models import Planet<br>class PlanetSerializer(serializers.ModelSerializer):<br>class Meta:<br>fields=('name')<br>model=Planet<br>```<br></li></ul>","<span>```<br>class PlanetSerializer(serializers.ModelSerializer):<br>class Meta:<br>model=Planet<br>fields=('name','position', 'mass', 'rings')<br>```<br>"
<b> Which class allows you to automatically create a Serializer class with fields and validators that correspond to your model's fields?</b><br><ul><li>ModelSerializer</li><li>Model</li><li>DataSerializer</li><li>ModelToSerializer</li></ul>,ModelSerializer
<b> Which command to access the built-in admin tool for the first time?</b><br><ul><li>django-admin setup</li><li>django-admin runserver</li><li>python manage.py createuser</li><li>python manage.py createsuperuser</li></ul>,python manage.py createsuperuser
<b> Virtual environments are for managing dependencies. Which granularity works best?</b><br><ul><li>you should set up a new virtualenv for each Django project</li><li>They should not be used</li><li>Use the same venv for all your Django work</li><li>Use a new venv for each Django app</li></ul>,you should set up a new virtualenv for each Django project
<b> What executes various Django commands such as running a webserver or creating an app?</b><br><ul><li>migrate.py</li><li>wsgi.py</li><li>manage.py</li><li>runserver</li></ul>,manage.py
"<b> What do Django best practice suggest should be ""fat""?</b><br><ul><li>models</li><li>controllers</li><li>programmers</li><li>clients</li></ul>",models
<b> Which is not part of Django's design philosophy?</b><br><ul><li>Loose Coupling</li><li>Less Code</li><li>Fast Development</li><li>Implicit over explicit</li></ul>,Implicit over explicit
"<b> What is the result of this template code?</b><br><br>```<br>{{""live long and prosper""|truncate:3}}<br>```<br><br><ul><li>live long and ...</li><li>live long and</li><li>a compilation error</li><li>liv</li></ul>",live long and ...
"<b> When does this code load data into memory?</b><br><br>```<br>1 sandwiches = Sandwich.objects.filter(is_vegan=True)<br>2 for sandwich in sandwiches:<br>3   print(sandwich.name + "" - "" + sandwich.spice_level)<br>```<br><br><ul><li>line 1</li><li>It depends on how many results return by query.</li><li>It depends on cache.</li><li>line 2</li></ul>",It depends on how many results return by query.
<b> You are building a web application using a React front end and a Django back end. For what will you need to provision?\*\*</b><br><ul><li>an NGINX web server</li><li>a NoSQL database</li><li>a larger hard drive</li><li>CORS middleware</li></ul>,No answer found
"<b> To expose an existing model via an API endpoint, what do you need to implement?\*\*</b><br><ul><li>an HTTP request</li><li>a JSON object</li><li>a query</li><li>a serializer</li></ul>",a serializer
<b> How would you stop Django from performing database table creation or deletion operations via migrations for a particular model?\*\*</b><br><ul><li>Run the `migrate` command with `--exclude=[model_name]`.</li><li>Move the model definition from `models.py` into its own file.</li><li>Set `managed=False` inside the model.</li><li>Don't run the `migrate` command.</li></ul>,Set `managed=False` inside the model.
<b> what method can you use to check if form data has changed when using a form instance?</b><br><ul><li>has_changed()</li><li>its_changed()</li><li>has_updated()</li><li>None of This</li></ul>,has_changed()
<b> What is WSGI?</b><br><ul><li>a server</li><li>an interface specification</li><li>a Python module</li><li>a framework</li></ul>,a server
<b> Which generic view should be used for displaying the tittles of all Django Reinhardt's songs?</b><br><ul><li>DetailView</li><li>TittleView</li><li>SongView</li><li>ListView</li></ul>,ListView
"<b> Which statement is most accurate, regarding using the default SQLite database on your local/development machine but Postgres in production</b><br><ul><li>There's less chance of introducing bugs since SQLite already works out the box</li><li>It's fine, you just need to keep both instances synchronized</li><li>It's a bad idea and could lead to issues down the road</li><li>It's the most efficient way to build a project</li></ul>",There's less chance of introducing bugs since SQLite already works out the box
<b> Why might you want to write a custom model Manager?</b><br><ul><li>to perform database queries</li><li>to set up a database for testing</li><li>to modify the initial QuerySet that the Manager returns</li><li>to filter the results that a database query returns</li></ul>,to modify the initial QuerySet that the Manager returns
"<b> In Django, what are used to customize the data that is sent to the templates?</b><br><ul><li>models</li><li>views</li><li>forms</li><li>serializers</li></ul>",views
"<b> To complete the conditional, what should this block of code end with?</b><br><br>```shell<br>% if sparles >= 50 %<br>Lots of sparkles!<br>% elif sparkles == 42 %<br>The answer to life, the universe, and everything!<br>```<br><br><ul><li>`% endif %`</li><li>Nothing else is needed.</li><li>`% end%`</li><li>`% else %`</li></ul>",`% endif %`
<b> When should you employ the POST method over the GET method for submitting data from a form?</b><br><ul><li>when the data in the form may be sensitive</li><li>when you want the data to be cached</li><li>when you want to use your browser to help with debugging</li><li>when efficiency is important</li></ul>,when the data in the form may be sensitive
<b> What is a callable that takes a value and raises an error if the value fails to meet some criteria?</b><br><ul><li>mediator</li><li>validator</li><li>regular expression</li><li>deodorizer</li></ul>,validator
<b> You are uploading a file to Django from a form and you want to save the received file as a field on a model object. You can simply assign the file object from**\_to a field of type\_\_**in the model.</b><br><ul><li>request.META; FileField</li><li>request.FILES; BLOBField</li><li>request.FILES; FileField</li><li>request.META.Files; CLOBField</li></ul>,request.FILES; FileField
<b> What python module might be used to store the current state of a Django model in a file?</b><br><ul><li>pickle</li><li>struct</li><li>marshal</li><li>serialize</li></ul>,pickle
"<b> To add a new app to an existing Django project, you must edit the **_ section of the _** file.</b><br><ul><li>ALLOWED_HOSTS; settings.py</li><li>APPS; manage.py</li><li>INSTALLED_APPS; settings.py</li><li>TEMPLATES; urls.py</li></ul>",INSTALLED_APPS; settings.py
<b> Which is not a third-party package commonly used for authentication?</b><br><ul><li>django-guardian</li><li>django-rest-auth</li><li>authtoken</li><li>django-rest-framework-jwt</li></ul>,django-rest-framework-jwt
<b> Which function in the django.urls package can help you avoid hardcoding URLS by generating a URL given the name of a view?</b><br><ul><li>get_script_prefix()</li><li>redirect()</li><li>reverse()</li><li>resolve()</li></ul>,reverse()
