"<b> Which command adds members to the replica set from MongoDB shell?</b><br><ul><li>`rs.add(""<hostname>"")`</li><li>`replicaSetAdd(""<hostname>"")`</li><li>`rs.insert(""<hostname>"")`</li><li>`replica.add(""<hostname>"")`</li></ul>","`rs.add(""<hostname>"")`"
"<b> You want to know how many types of items you have in each category. Which query does this?</b><br><ul><li>`db.product.group({_id: ""$category"", count: {$sum:1}})`</li><li>`db.product.aggregate($sum: {_id: ""$category"", count: {$group:1}})`</li><li>`db.product.aggregate($group: {_id: ""$category"", count: {$sum:1}})`</li><li>`db.product.aggregate($count: {_id: ""$category"", count: {$group:1}})`</li></ul>","`db.product.aggregate($group: {_id: ""$category"", count: {$sum:1}})`"
"<b> To restrict the number of records coming back from a query, which command should you use?</b><br><ul><li>take</li><li>limit</li><li>max</li><li>skip</li></ul>",limit
"<b> You have a collection named restaurants with the geographical information stored in the location property, how do you create a geospatial index on it?</b><br><ul><li>`db.restaurants.CreateIndex({location: ""2dsphere""})`</li><li>`db.restaurants.geospatial({location: ""2dsphere""})`</li><li>`db.restaurants.CreateIndex(""2dsphere"":""location"")`</li><li>`db.restaurants.CreateIndex({geospatial: ""location""})`</li></ul>","`db.restaurants.CreateIndex({location: ""2dsphere""})`"
"<b> How do you find documents with a matching item in an embedded array?</b><br><ul><li>`db.customers.findmatch ({""jobs"":""secretary""})`</li><li>`db.customers.find ({""jobs:secretary""})`</li><li>`db.customers.find ({""jobs"":[""secretary""]})`</li><li>`db.customers.find ({""jobs"":""secretary""})`</li></ul>","`db.customers.find ({""jobs"":""secretary""})`"
"<b> Which query bypasses the first </b><br><ul><li>`db.customers.find({}, {skip: 5, limit: 10})`</li><li>`db.customers.find({}.page(5).take(10))`</li><li>`db.customers.find({}).skip(5).take(10)`</li><li>`db.customers.find({}).skip(5).limit(10)`</li></ul>",`db.customers.find({}).skip(5).limit(10)`
"<b> How do you create a text index?</b><br><ul><li>`db.customers.createIndex({firstName, lastName})`</li><li>`db.customers.createTextIndex({firstName, lastName})`</li><li>`db.customers.createIndex({firstName: ""text"", lastName: ""text""})`</li><li>`db.customers.createText({firstName: 1, lastName: 1})`</li></ul>","`db.customers.createIndex({firstName: ""text"", lastName: ""text""})`"
"<b> Assuming you have customers collection with a firstName and lastName field, which is the correct MongoDB shell command to create an index on lastName, then firstName both ascending?</b><br><ul><li>`db.customers.createIndex(""lastName, firstName, ASC"")`</li><li>`db.customers.addIndex({lastName:""ASC"", firstName: ""ASC""})`</li><li>`db.customers.newIndex({lastName:1, firstName:1})`</li><li>`db.customers.createIndex({lastName:1, firstName: 1})`</li></ul>","`db.customers.createIndex({lastName:1, firstName: 1})`"
"<b> One of the documents in your collection has an \_id based upon an older database design and you want to change it. You write an update command to find the document and replace the \_id but the \_id isn't changed. How should you fix the issue?</b><br><ul><li>Set the replace option to true.</li><li>Use the replaceOne() command instead.</li><li>You can't. Once set, the \_id field cannot be changed.</li><li>Use the updateOne() command instead.</li></ul>","You can't. Once set, the \_id field cannot be changed."
"<b> A compound index allows you to \_ ?</b><br><ul><li>Calculate interest quickly.</li><li>Accomplish nothing, since compound indexes aren't allowed in Mongo.</li><li>Use more than one field per index.</li><li>Combine fields in different collations.</li></ul>",Combine fields in different collations.
<b> Why are ad-hoc queries useful?</b><br><ul><li>They do not have to use the same operators.</li><li>You do not need to structure the database to support them.</li><li>They autogenerate reports.</li><li>They run faster than indexed queries.</li></ul>,They run faster than indexed queries.
<b> How often do the members of a replica set send heartbeats to each other?</b><br><ul><li>every 2 minutes</li><li>every 5 seconds</li><li>every 2 seconds</li><li>every 10 seconds</li></ul>,every 2 seconds
<b> Which command returns all of the documents in the customers collection?</b><br><ul><li>`db.customers.all();`</li><li>`db.find().customers();`</li><li>`db.customers.find();`</li><li>`db.customers.show();`</li></ul>,`db.customers.find();`
"<b> Given a cursor named myCursor, pointing to the customers collection, how to you get basic info about it?</b><br><ul><li>`myCursor.stats()`</li><li>`myCursor.dump()`</li><li>`myCursor.info()`</li><li>`myCursor.explain()`</li></ul>",`myCursor.explain()`
<b> What is true about indexes?</b><br><ul><li>They speed up read access while slowing down writes.</li><li>They secure the database from intruders.</li><li>They speed up reads and writes.</li><li>They speed up write access while slowing down reads.</li></ul>,They speed up read access while slowing down writes.
"<b> What is the preferred format to store geospatial data in MongoDB?</b><br><ul><li>Latitude, longitude</li><li>XML</li><li>GeoJSON</li><li>BSON</li></ul>",GeoJSON
"<b> Which programming language is used to write MongoDB queries? (_Alternative_: In the MongoDB shell, what programming language is used to make queries?)</b><br><ul><li>Python</li><li>JavaScript</li><li>SQL</li><li>TypeScript</li></ul>",JavaScript
<b> You have two text fields in your document and you'd like both to be quickly searchable. What should you do?</b><br><ul><li>Create a text index on each field.</li><li>MongoDB is not able to do this.</li><li>Create a compound text index using both fields.</li><li>Create a text index on one field and a single field index on the other.</li></ul>,Create a text index on each field.
"<b> To import a CSV file into MongoDB, which command should you issue?</b><br><ul><li>mongorestore</li><li>mongoi</li><li>upload</li><li>mongoimport</li></ul>",mongoimport
"<b> In an MongoDB mapReduce command, the reduce function should \_.</b><br><ul><li>access the database</li><li>be called only when the key has a single value</li><li>access the database only to perform read operations</li><li>not access the data</li></ul>",not access the data
"<b> On a newly created collection, which field will have an index?</b><br><ul><li>the name field</li><li>the ObjectId field</li><li>the `_id` field</li><li>no field will have an index</li></ul>",the `_id` field
"<b> You have a collection of thousands of students. You'd like to return the second set of </b><br><ul><li>limit, skip, sort</li><li>sort, limit, skip</li><li>limit, sort, skip</li><li>sort, skip, limit</li></ul>","sort, skip, limit"
"<b> You would like the stats() command to return kilobytes instead of bytes. Which command should you run?</b><br><ul><li>`db.vehicle.stats(1024)`</li><li>`db.vehicle.stats(""kilobytes"")`</li><li>`db.vehicle.stats(true)`</li><li>`db.vehicle.stats(""kb"")`</li></ul>",`db.vehicle.stats(1024)`
<b> You want to modify an existing index. What is the best way to do this?</b><br><ul><li>Use the `reIndex()` command to modify the index.</li><li>Delete the original index and create a new index.</li><li>Call the `createIndex()` command with the update option.</li><li>Use the `updateIndex()` command.</li></ul>,Delete the original index and create a new index.
"<b> You need to delete the index you created on the description field. Which command will accomplish this?</b><br><ul><li>`db.vehicle.dropIndex(""description_text"")`</li><li>`db.vehicle.dropIndex({""description"":""text""})`</li><li>`db.vehicle.removeIndex({""description"":""text""})`</li><li>`db.vehicle.removeIndex(""description_text"")`</li></ul>","`db.vehicle.dropIndex(""description_text"")`"
"<b> You would like to know how many different categories you have. Which query will best get the job done?</b><br><ul><li>`db.vehicle.distinct(""category"")`</li><li>`db.vehicle.unique(""category"")`</li><li>`db.vehicle.distinct(""category"").count()`</li><li>`db.vehicle.distinct(""category"").length`Note: count() works with find(...) but length works with distinct<br></li></ul>","`db.vehicle.distinct(""category"").length`Note: count() works with find(...) but length works with distinct<br>"
"<b> From the MongoDB shell, how do you create a new document in the customers collection?</b><br><ul><li>`db.customers.add({name: ""Bob""})`</li><li>`db.customers.save({name: ""Bob""})`</li><li>`db.customers.create({name: ""Bob""})`</li><li>`db.customers.new({name: ""Bob""})`</li></ul>","`db.customers.save({name: ""Bob""})`"
<b> Which field is required of all MongoDB documents?</b><br><ul><li>`_id`</li><li>`_name`</li><li>ObjectId</li><li>mongoDB is schema-less so no field is required</li></ul>,`_id`
"<b> A MongoDB instance has at least what three files?</b><br><ul><li>data, namespace, and journal</li><li>namespace, journal, and log</li><li>journal, data, and database</li><li>data, log, and journal</li></ul>","data, namespace, and journal"
"<b> You'd like a set of documents to be returned in last name, ascending order. Which query will accomplish this?</b><br><ul><li>`db.persons.find().sort({lastName: -1}}`</li><li>`db.persons.find().sort({lastName: 1}}`</li><li>`db.persons.find().sort({lastName: ascending}}`</li><li>`db.persons.find().sort({lastName: $asc}}`</li></ul>",`db.persons.find().sort({lastName: 1}}`
<b> What is NOT a standard role in MongoDB?</b><br><ul><li>restore</li><li>read/write</li><li>dbadmin</li><li>delete collections</li></ul>,dbadmin
<b> Which MongoDB shell command deletes a single document?</b><br><ul><li>`db.customers.delete({_id: 1});`</li><li>`db.customers.drop({_id: 1});`</li><li>`db.drop.customers({_id: 1});`</li><li>`db.customers.remove({_id: 1});`</li></ul>,`db.customers.remove({_id: 1});`
"<b> Using the MongoDB shell, how do you remove the customer collection and its indexes?</b><br><ul><li>`db.customers.remove({}).indexes();`</li><li>`db.customers.remove({});`</li><li>`db.customers.drop();`</li><li>`db.customers.delete();`</li></ul>",`db.customers.drop();`
"<b> By default, applications direct their read operations to which member of the replica set?</b><br><ul><li>primary</li><li>arbiter</li><li>secondary</li><li>backup</li></ul>",primary
<b> You need to get the names of all the indexes on your current collection. What is the best way to accomplish this?</b><br><ul><li>`db.people.getName();`</li><li>`db.people.reIndex({names: 1});`</li><li>`db.people.getIndexKeys();`</li><li>`db.people.getIndexes();`</li></ul>,`db.people.getIndexes();`
<b> You are going to do a series of updates to multiple records. You find setting the multi option of the update() command too tiresome. What should you do instead?</b><br><ul><li>Use the replaceMany() command instead</li><li>Use the updateMulti() command instead</li><li>Use the updateMany() command instead</li><li>Set the global multi option to True</li></ul>,Use the updateMany() command instead
"<b> To cleanly shut down MongoDB, what command should you use from the MongoDB shell?</b><br><ul><li>quit()</li><li>exit()</li><li>db.shutdownServer()</li><li>db.shutdown()</li></ul>",db.shutdownServer()
"<b> Given a customer collection which includes fields for gender and city, which aggregate pipeline shows the number of female customers in each city? (_Alternative_: How can you view the execution performance statistics for a query?)</b><br><ul><li>`db.members.aggregate([ {$match: {gender: ""Female""}}, {$group: {_id: {city: ""$city""}, number: {$sum: 1}}}, {$sort :{number: -1}}])`</li><li>`db.members.find({$match: {gender: ""Female""}}, {$group: {_id: {city: ""$city""}, number: {$sum: 1}}}.$sort ({number: -1})`</li><li>`db.members.find([ {$match: {gender: ""Female""}}, {$group: {_id: {city: ""$city""}, number: {$sum: 1}}}, {$sort :{number: -1}}])`</li><li>`db.members.aggregate([ {$match: {gender: ""Female""}}, {$sort :{number: -1}}])`</li></ul>","`db.members.aggregate([ {$match: {gender: ""Female""}}, {$group: {_id: {city: ""$city""}, number: {$sum: 1}}}, {$sort :{number: -1}}])`"
"<b> When no parameters are passed to `explain()`, what mode does it run in?</b><br><ul><li>wireTiger mode</li><li>executionStats mode</li><li>queryPlanner mode</li><li>allPlansExecution mode</li></ul>",queryPlanner mode
<b> What is the correct query to find all of the people who have a home phone number defined?</b><br><ul><li>`db.person.find({exists: 'homePhone'});`</li><li>`db.person.exists({homePhone: true});`</li><li>`db.person.find({homePhone: {$exists: true}});`</li><li>`db.person.has('homePhone');`</li></ul>,`db.person.find({homePhone: {$exists: true}});`
<b> Which file in the MongoDB directly holds the MongoDB daemon?</b><br><ul><li>mongodb</li><li>mongo-daemon</li><li>daemon</li><li>mongod</li></ul>,<ul><li>mongo-daemon</li><li>mongod</li></ul>
"<b> You have just secured your previously unsecured MongoDB server, but the server is still not requiring authentication. What is the best option?</b><br><ul><li>Restart the `mongod` process.</li><li>Issue the `secure()` command.</li><li>Issue the `mongoimport` command.</li><li>Issue the `authenticate()` command.</li></ul>",Restart the `mongod` process.
<b> What is the most accurate statement regarding MongoDB and ad hoc queries?</b><br><ul><li>MongoDB does not allow ad hoc queries; all queries require an index.</li><li>Ad hoc queries are allowed only in the paid version.</li><li>Ad hoc queries are allowed only through the ad hoc command.</li><li>MongoDB allows ad hoc queries.</li></ul>,<ul><li>MongoDB does not allow ad hoc queries; all queries require an index.</li><li>MongoDB allows ad hoc queries.</li></ul>
"<b> In MongoDB, what does a projection do?</b><br><ul><li>allows you to do a calculation on the results</li><li>allows you to run queries on the server</li><li>allows you to select which fields should be in the return data</li><li>allows you to format the results for a display</li></ul>",allows you to select which fields should be in the return data
"<b> To remove a database and all of its records from MongoDB, what operator should you use?</b><br><ul><li>`dropDatabase()`</li><li>`removeAll()`</li><li>`clear()`</li><li>`deleteDatabase()`</li></ul>",`dropDatabase()`
<b> What option can be passed to start the MongoDB shell without connecting to a database?</b><br><ul><li>`-db=null`</li><li>`--shell-only`</li><li>`--free`</li><li>`-nodb`</li></ul>,`-nodb`
<b> How can you improve the appearance of the output JSON that contains the `_id`?</b><br><ul><li>`Use db.collection.set({$_id:pretty})`</li><li>`Create a second index`</li><li>`Use db.collection.format(numeric)`</li><li>`Use $_id = value`</li></ul>,`Use db.collection.format(numeric)`
<b> What happens to a Replica set oplog if it runs out of memory?</b><br><ul><li>`The oplog will be saved on one of the secondary servers.`</li><li>`The oplog is capped collection and can't run out of memory`</li><li>`The MongoDB instance will fail`</li><li>`The oplog will stop recording logging information`</li></ul>,`The oplog will be saved on one of the secondary servers.`
<b> MongoDB ships with a variety of files. Which file runs the MongoDB shell?</b><br><ul><li>mongo</li><li>mongo-s</li><li>shell</li><li>mongo-shell</li></ul>,mongo
"<b> How can you view the execution performance statistics for a query?</b><br><ul><li>`db.performance.members.aggregate([ {$match: {gender: ""Female""}}, {$group: {_id:{city:""$city""}, number: {$sum: 1}}}, {$sort : {number: -1}}])`</li><li>`db.members.aggregate([ {$match: {gender: ""Female""}}, {$group: {_id: {city: ""$city""}, number:{$sum:1}}}, {$sort: {number:-1}}]).explain(""executionStats"")`</li><li>`db.members.aggregate([ {$match: {gender: ""Female""}}, {$group:{_id: {city: ""$city""}, number: {$sum: 1}}}, {$sort: {number: -1}}]).explain()`</li><li>`db.members.aggregate([ {$match: {gender: """"""Female""""""}}, {$group: {_id: {city: """"""$city""""""}, number: {$sum:1}}}, {$sort: {number: -1}}]).number()`</li></ul>","`db.members.aggregate([ {$match: {gender: ""Female""}}, {$group: {_id: {city: ""$city""}, number:{$sum:1}}}, {$sort: {number:-1}}]).explain(""executionStats"")`"
"<b> From the MongoDB shell, how do you execute a JavaScript file named list.js?</b><br><ul><li>node 'list.js'</li><li>exec('list.js)</li><li>run('list.js)</li><li>load('list.js)</li></ul>",load('list.js)
<b> Which MongoDB shell query will sort the customer's collection by name descending?</b><br><ul><li>db.customers.sort({name: -1}.find({})</li><li>db.customers.sort({name: -1})</li><li>db.customers.find({}).sort({name: -1})</li><li>db.customers.find({}).sort({name: 1})</li></ul>,db.customers.find({}).sort({name: -1})
"<b> Suppose you are using the mongoimport command to import personnel data and there is a unique index on the email field. What happens when there are duplicate emails in the import?</b><br><ul><li>The import command aborts without importing any records.</li><li>The import command imports records upto but not including the record, and then aborts.</li><li>The import command doesn't import the bad document but does import the rest.</li><li>The import command prompts you to correct the bad record.</li></ul>",The import command prompts you to correct the bad record.
<b> You have a collection with millions of documents. Each time you attempt to sort. MongoDB runs out of memory. What might help?</b><br><ul><li>Use the purge operator before the sort.</li><li>Return the entire collection and sort on the client.</li><li>Pass the --more-memory option.</li><li>Create an index on the field you are sorting.</li></ul>,Create an index on the field you are sorting.
"<b> You need to be able to quickly find a word in a text field. What should you do?</b><br><ul><li>Create a text index on the field and do a $text Query.</li><li>Create an single field index in descending order, and do a query for the word.</li><li>Do a $text query.</li><li>Create a $regex on the fields, and do a $regex query.</li></ul>",Do a $text query.
<b> Which field is always included in a projection unless specifically excluded?</b><br><ul><li>index</li><li>Name</li><li>`_id`</li><li>row number</li></ul>,`_id`<br><br>[Reference](https://docs.mongodb.com/manual/reference/operator/aggregation/project/#definition)<br>
"<b> After installing MongoDB on your machine, what must you do before launching Mongo?</b><br><ul><li>Create a user account.</li><li>Register online.</li><li>Create a data directory.</li><li>Establish security credentials.</li></ul>",Establish security credentials.<br><br>[mongodb site](https://docs.mongodb.com/manual/tutorial/verify-mongodb-packages/#verify-integrity-of-mongodb-packages)<br>
<b> How does a --jsonArray file need to be structured?</b><br><ul><li>as a properly formatted JSON array</li><li>as YAML</li><li>as plain text</li><li>as a BSON object</li></ul>,as a properly formatted JSON array<br><br>[Section blog](https://www.section.io/engineering-education/handling-json-in-mongodb/)<br>
"<b> From the MongoDB shell, how do you display all of a database's memory usage?</b><br><ul><li>db.size()</li><li>db.info()</li><li>db.memory()</li><li>db.stats()</li></ul>",<ul></ul>
<b> How do you create a new MongoDB user?</b><br><ul><li>db.createUser({})</li><li>db.insert({user: 1})</li><li>db.customers.newUser({})</li><li>db.newUser({})</li></ul>,db.createUser({})<br><br>[MongoDB documentation](https://docs.mongodb.com/manual/tutorial/create-users/)<br>
<b> What is the internal data structure of a MongoDB document?</b><br><ul><li>JSON (JavaScript Object Notation)</li><li>BSON (Binary JSON)</li><li>ORM (object relational mode)</li><li>MBF (MongoDB binary format)</li></ul>,JSON (JavaScript Object Notation)<br><br>[MongoDB documentation](https://docs.mongodb.com/guides/server/introduction/)<br>
"<b> Which projection shows only the FirstName and lastName fields of a document in the customers collection?</b><br><ul><li>`db.customers.find({}, {firstName: 1, lastName: 1})`</li><li>`db.customers.find({}, {_id:0, firstName: 1, lastName: 1})`</li><li>`db.customers.find({_id: 0, year: 1, maek: 1, model: 1})`</li><li>`db.customers.find({}).project({firstName: 1, lastName: 1})`</li></ul>","`db.customers.find({}, {_id:0, firstName: 1, lastName: 1})`"
<b> Documents in mongodb are atomic at the \_\_\_ level</b><br><ul><li>database</li><li>field</li><li>no</li><li>document</li></ul>,"document<br><br>[MongoDB reference](https://www.mongodb.com/docs/manual/core/write-operations-atomicity/#:~:text=In%20MongoDB%2C%20a%20write%20operation,documents%20within%20a%20single%20document.)<br>"
<b> What should the priority of a member be in order to prevent it from becoming the primary in replica set?</b><br><ul><li>1</li><li>null</li><li>0</li><li>-1</li></ul>,0<br><br>[MongoDB reference](https://www.mongodb.com/docs/manual/tutorial/configure-secondary-only-replica-set-member/#assign-priority-value-of-0)<br>
<b> You need to add an index to the large name collection in your production database. You do not want to have disruption of service for your users and you can't afford to have a team to do the work during after hours. What should you do?</b><br><ul><li>Use the reIndex() command to add the index quickly.</li><li>Use the createIndex() command with the option background = true.</li><li>Use the createIndex() command.</li><li>Use the createIndex() command with the option parallel = true.</li></ul>,Use the createIndex() command with the option background = true.<br><br>[MongoDB reference](https://www.mongodb.com/docs/v4.0/reference/method/db.collection.createIndex/#options)<br>
<b> When using aggregation $convert. which is not a parameter?</b><br><ul><li>input</li><li>output</li><li>to</li><li>onError</li></ul>,output<br><br>[MongoDB reference](https://www.mongodb.com/docs/manual/reference/operator/aggregation/convert/#definition)<br>
